cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:0045944,"positive regulation of transcription from RNA polymerase II promoter",495,"POGZ, USF1, AATF, RIT2, NCOA3, NFYB, CASK, SMAD2, ETS2, LHX2, ZNF438, CAMK1, ZNF267, PFKM, ZBTB16, USP16, CBFB, ZNF521, MAPK7, NIPBL, SLC9A1, E2F5, RHOQ, ZNF91, AGAP2, FEZF2, STOX2, SMARCC1, IGF1, MKRN2, ATF4, AGRN, DDRGK1, PIK3R1, MYDGF, NKX6-3, CEBPD, PLAG1, TCEA2, MSX1, CITED4, PPP3CB, ZBED1, NKX3-1, JAK2, ADIRF, UBP1, EGR2, TLR4, NCK2, MYSM1, CCNT1, APBB1, EDN1, MESP1, ARNT2, SIX3, DVL2, NFATC3, YY2, PPARGC1B, PKD2, ARID4A, KLF12, PIK3R2, EGR3, ETV1, AIRE, SP3, ESRRA, E2F3, PPARGC1A, TFEC, LMO1, GTF2A2, MAX, JMJD6, MAPK3, BCL9, HIVEP1, SMARCD2, TFDP1, GPER1, ZNF721, IRF3, SPIB, ELK1, LMO4, MLLT6, PAX6, ZNF33A, SMAD1, PBX3, ASCL1, MED10, CEBPB, KLF6, FGFR2, RB1, MAP2K5, RFX5, ACVRL1, NFKB1, HDAC8, NAMPT, THRA, NR4A2, TNKS, TOX2, KLF7, HMGB1, MC1R, PPARD, SPDEF, CEBPA, ZNF226, ADCYAP1, ATAD2B, FOXC1, MEIS3P1, EGR4, CRTC3, EPC1, S1PR1, PARP1, HEYL, AHI1, BCL11B, JUN, SMARCD1, HEXB, IL1B, HMGB2, ATRX, ARID4B, HLTF, JUP, KLF10, LDB1, PSMC3, HES1, KAT6B, STAT6, TSTD1, ASH2L, EAF2, INHBA, PID1, DR1, ZNF143, SOX15, FOXO1, NR2E1, MEF2A, SKAP1, GTF2F2, RIPK2, KAT6A, CNBP, NR4A3, SREBF1, ARMCX3, GABPA, AGO1, NKX2-2, ONECUT2, HDAC5, ATF5, SATB2, MYBL1, CHUK, CDH13, FGF2, NR3C1, CAVIN4, MED13, ARRB1, RARB, XBP1, PER1, MZF1, PTOV1, CD81, NFIX, NFIA, GTF2A1, HSF4, FHOD1, LMO2, ESRRG, CHP2, PRDM2, TEAD1, MAML1, ZNF395, GLIS1, FOXF1, NFKBIA, ZNF845, ATF6B, MLLT10, MED14, ACVR1, SETD3, FOSL2, OVOL2, AR, SMARCA1, RFX3, AKIRIN2, KMT2A, REL, DRD2, NR2F1, ZNF345, NELFE, ZBTB38, NFATC1, ARNTL, FIZ1, CDK9, PCBP2, ZNF717, PPARG, IER2, ZFAT, KMT2C, ISL1, GLI1, ZNF225, SSBP2, ZNF827, NR1H3, NFATC2IP, NELFA, DHX36, SSBP4, ITGB1BP1, FOXK2, CRLF3, ZNF148, RGMA, WBP2, NR1H2, CAMTA2, HOXD9, MAFG, RUNX2, AHR, HMGN3, GAL, NDN, PRKD1, ZMIZ1, ZIC1, HEY1, NANOG, ID4, HLF, HHEX, NPAS2, RPS6KA3, TET1, CLOCK, CALCOCO1, AP3B1, BCL3, NOS1, MAML3, RPS27A, USF3, KLF13, SOX8, ZNF493, MCRS1, SMARCD3, TRERF1, TNIP1, HTATIP2, ASH1L, ZFP64, ARID5A, CITED2, ARID3B, TWIST1, COPS5, TMF1, NRIP1, SOX11, BCL11A, TLR2, NCK1, PCGF5, SOX17, DHX9, SRF, PIN1, RFXAP, ZBTB7B, MECOM, PPP3R1, HCLS1, VEGFA, HRAS, TLR3, MITF, CREBRF, THRB, TBX19, POMC, SKI, SCX, IFT74, YBX1, MED21, ZIC3, ZNF175, POU3F3, WWOX, HGF, TP53BP1, ZNF268, ZNF407, E2F1, TOX3, WNT7A, ZNF292, PPP1R12A, STAT4, PYGO1, PPP3CA, NPAT, KLF2, IL33, DMRT2, CREBZF, CDKN2A, SMAD3, CYTL1, DDX3X, GALR1, ELK4, LMO7, MTF2, WNT5A, FOXL2, DCN, ASXL3, DVL1, ZNF229, ESRRB, PLAGL1, FOXD1, POU2AF1, ETV6, CNOT7, MYC, NEUROD1, NEUROD2, NFAT5, MAFF, MLXIP, EGR1, NR2F2, CAMTA1, TLX2, TBX1, ATF6, HDAC2, DPF1, ATF1, PHIP, RPS6KA4, TCERG1, ETV5, ZNF594, PPP2R5B, KAT8, RBM14, FOSB, ARNTL2, BEX1, NFIC, PAXBP1, LEF1, EPCAM, USF2, ERG, UBA52, TBR1, GLI3, DBP, POU3F2, NRL, ZNF219, KDM1B, MYCN, IER5, PKNOX1, SOX3, CTBP2, DAB2, ZFP62, BCLAF3, ZNF658B, BRCA1, DOT1L, MECP2, MAML2, MAFB, WWP2, MLIP, PAX8, CKAP2, LIF, PLAGL2, ZNF780B, PSIP1, MEIS3, TCF7L2, PRRX1, MEIS1, ZFHX3, MOSPD1, ACVR2A, FOXF2, SOX4, RREB1, NFYC, ZNF782, SIRT1, ADRB2, DDN, ECD, RNASEL, NLRP3, PRDM16, NFIB, CRTC2, SENP2, TFDP2, NEUROD6, CREB3, KDM3A, OGT, MEIS2, RFXANK, LDB2, RORA, MET, ZNF462, STAT1, PAGR1, ZFPM2, ZNF629, TBL1X, ZNF615, RNF10, ZNF786, MYB, ELL3, ONECUT1, SMO, SIRT2, ASCL2, STOX1, RXRA, PEG3, CSRNP3, MPND, SIRT7, TFEB, UBE3A, LITAF, BMP6, SENP1, CREB3L3, PRDM5, RORB, CTNNB1, IKBKB, IRF5, SLC40A1, GLIS3, PKD1, MEF2C, HES5, NR1D1, HDAC4, NR1D2, ZNF33B, TNF, POU2F2, PROX1, FOS",0.0548823488225558,0.0055028411877579,0.0388773814773151,0.00048,0.00360888888888889
GO:0045599,"negative regulation of fat cell differentiation",24,"JDP2, RUNX1T1, WNT10B, SIRT2, ARNTL, ANKRD26, GPER1, TRIB3, TNF, TRIO, ZFPM2, ZADH2, SIRT1, RORA, FOXO1, ENPP1, E2F1, SOD2, SORT1, SMAD3, ID4, ZFP36L2, FERMT2, WNT5A",0.0456692171271186,0.00560464858850818,0.0393027644114481,0.00308,0.0161979274611399
GO:0090150,"establishment of protein localization to membrane",5,"BID, RAB11A, BRAF, RAB10, RAB11B",0.185287092637493,0.00560467565166722,0.0393027644114481,6e-05,0.000722134387351779
GO:0071354,"cellular response to interleukin-6",8,"PTGIS, ST3GAL6, AQP4, PPARGC1A, NFKB1, SELPLG, PID1, PTPRT",0.116896498199174,0.00560568351774882,0.0393027644114481,0.0013,0.00807857142857143
GO:0030949,"positive regulation of vascular endothelial growth factor receptor signaling pathway",6,"FGF18, IL1B, PRKCB, FGF9, MT3, GRB10",0.137923128989545,0.00561468063020687,0.0393027644114481,0.00402,0.0201
GO:0070830,"bicellular tight junction assembly",19,"TBCD, PATJ, STRN, DLG1, OCEL1, PECAM1, CLDN5, AFDN, PARD6B, PARD6A, RAB13, PARD3, CLDN10, SRF, CLDN4, MPP7, MTDH, PRKCI, ESAM",0.106900730732971,0.00568926626261346,0.0397326588130119,0.00068,0.00480417633410673
GO:1990869,"cellular response to chemokine",10,"WNK1, FOXC1, OXSR1, CXCL12, SH2B3, LRCH1, DOCK8, DUSP1, RIPOR2, STK39",0.183003481718508,0.00570346094916885,0.0397326588130119,4e-05,0.000516101694915254
GO:0008625,"extrinsic apoptotic signaling pathway via death domain receptors",18,"GABARAP, CRADD, BEX3, BLOC1S2, BID, DIABLO, DDX3X, PIDD1, TNF, PIK3R1, BAD, BCL2, CASP8AP2, BAG3, SORT1, TNFRSF10B, TRADD, DAXX",0.0863186182084354,0.00571523959280762,0.0397326588130119,0.00132,0.00818615071283096
GO:0030183,"B cell differentiation",25,"TNFSF13B, ONECUT1, ZBTB7A, PTPN2, DCAF1, HHEX, DCLRE1C, PIK3R1, HDAC9, ITGB1, PTPRJ, KLF6, MSH2, TPD52, FLT3, FZD9, HDAC5, SLC25A5, SP3, PLCG2, HDAC4, KIT, ZBTB1, BLNK, PTPRC",0.0707433074266941,0.00576644448935681,0.0399973199774294,0.0025,0.0136424731182796
GO:0055072,"iron ion homeostasis",16,"SLC25A37, STEAP1, GLRX3, HMOX1, SOD2, B2M, SLC25A28, STEAP2, IREB2, ABCB7, HMOX2, FTL, SLC40A1, MELTF, TF, BDH2",0.148580811567925,0.00581806597601231,0.0402636611294488,0.00232,0.0127978260869565
GO:0048468,"cell development",5,"ARID5B, CYB5R4, HSF4, MKX, GJC1",0.421569952220869,0.00589492470484854,0.0406989720632172,0,0
GO:2001244,"positive regulation of intrinsic apoptotic signaling pathway",16,"BCL2, BBC3, CLU, GSDME, PLEKHF1, NKX3-1, BECN1, PLAGL2, BID, NUPR1, SIAH1, FIS1, BCAP31, PMAIP1, BCL2L11, BAD",0.0934291688242646,0.00590769972149163,0.0406989720632172,0.0028,0.0149316987740806
GO:0016567,"protein ubiquitination",234,"ASB13, WSB1, TRIM8, RNF8, DTX1, HERC5, NEDD8, ZNRF3, ZNF598, NSMCE1, MID2, BARD1, FBXO31, BIRC6, COP1, ASB2, ASB10, HLA-B, MKRN2, TRIM47, PINK1, UCHL3, FBXW5, PCNP, TRIM45, KCTD21, TRIM27, ENC1, BIRC3, RNF7, LMO7, CTR9, NUB1, CDC42, SIAH1, TRIM7, UBE2G1, RABGEF1, SOCS5, RNF214, TRIM62, TRIM22, USP5, KLHL8, TRIM68, LZTR1, CUL4B, CBLB, RNF43, WWP2, RNFT2, BTBD1, RFPL3, UBE2D4, FBXW7, FBXL15, HERC6, RNF38, FBXL3, UBE2D2, LNX1, TRIM33, SPSB2, ARRB1, RAB40A, RPS27A, RNF152, VCPIP1, HERC3, MED7, CDC27, BTRC, UBE2M, DCAF1, HERPUD1, KCMF1, KLHDC1, TULP4, KLHL2, CDC16, TRIM36, SOCS2, USP9X, SIRT1, UBE2Q2, MAEA, PDZRN3, CHFR, HLTF, RNF175, UBE2D1, TRIM11, ARIH1, KLHL41, C18orf25, TRIM44, UBE2B, DCAF12, FBXL12, RNF150, FBXO44, KLHL25, ASB6, PEX10, NEURL1B, SIAH3, TRIM17, KLHL20, TRIM58, DTX4, ANKRD9, MED10, NEUROD2, UBE2S, ANAPC11, RNF6, CUL4A, KLHL21, KCTD10, SPSB1, SOCS7, LRR1, FBXO40, NEURL3, UBE2A, LNX2, NEDD4L, PPP1R11, ATG3, CDC34, BCL10, RLIM, RCHY1, DCAF4, BSPRY, RNF144A, KEAP1, RNF220, MIB2, KLHDC10, PEX12, TRIM41, STUB1, TRIM32, ELOB, MED11, KLHL24, DCAF11, SIAH2, RMND5B, UBE2R2, SPOPL, WWP1, TRIM61, FBXO33, TRIM14, RFPL1, RNF128, DCAF15, SH3RF1, HECTD2, FBXL2, KCTD9, UBR2, TRIM9, MED31, DERL1, DCAF5, ASB8, WSB2, SKP1, WAC, SAE1, RNF157, RNF182, KLHL36, UBA52, ZBTB16, UBE2Z, CAND2, KLHL15, RAB40AL, MED8, RAB40B, TNFAIP1, UHRF2, LEO1, RNF208, VCP, G2E3, PCNA, CCNB1IP1, UBR7, RNF26, KLHL3, RNF130, DTX3, TRIM35, ARIH2, SPSB3, HERC4, UBAC1, TRIM52, HECW1, UBA6, DCAF7, RNF113A, TRIM13, PJA1, BRCA1, KLHDC3, UNKL, RFPL2, ASB5, CUL3, VPS11, DCAF16, TRIM24, TRAIP, FBXO2, RNF138, CUL2, RNF181, KLHL13, TRIM26, MKRN1, DDB1, FBXO9, RAB40C, JADE2, FBXO32, HERC1, RNF168, MED24",0.051948139005399,0.0059313814666675,0.0407698793814955,0.0018,0.0105
GO:1900121,"negative regulation of receptor binding",5,"ATP2A2, RGMA, PTPRF, ADAM15, B2M",0.146030773285382,0.0059775325855268,0.0408567365866728,0.00096,0.00635478260869565
GO:0032355,"response to estradiol",53,"CTNNB1, CALR, MYC, DNMT3A, NQO1, OXTR, SOCS2, MBD2, NCOR2, ADCYAP1R1, GPI, GHR, RBBP8, BAD, CYP1B1, GPX4, IGFBP2, MAP1B, PTN, ASS1, DNMT3B, HTR5A, CDKN1B, WNT7A, HPGD, PTGS2, GGT1, PCNA, KCNJ11, GJA1, EEF2, NR2F2, RGS9, PTCH1, PENK, WFDC1, CCND1, DUSP1, GGT5, ENDOG, CD38, ESRRA, OGG1, CRYAB, ARPC1B, CASP3, PDGFA, STXBP1, ARNT2, GSTP1, MMP15, OPRL1, ANXA1",0.0530951169938068,0.00598233520952685,0.0408567365866728,0.00552,0.0259789799072643
GO:0060982,"coronary artery morphogenesis",7,"VEGFA, TGFBR1, SEC24B, LRP2, NRP1, ARID2, TBX1",0.260366961568984,0.00599668398551401,0.0408567365866728,0.00164,0.00977260273972603
GO:0038084,"vascular endothelial growth factor signaling pathway",9,"FLT4, FLT1, VEGFA, PIK3CA, FOXC1, FLT3, NUS1, VEGFC, NRP2",0.213751319499412,0.00599768842503867,0.0408567365866728,0.00154,0.0092491124260355
GO:2001022,"positive regulation of response to DNA damage stimulus",7,"NSMCE1, PRKCD, ENDOG, PAXIP1, NSMCE4A, NKX3-1, MYC",0.132064606604894,0.00603713832321773,0.0409655028720001,0.00112,0.00719493670886076
GO:0006309,"apoptotic DNA fragmentation",7,"CASP3, ENDOG, HMGB2, DFFB, FOXL2, HMGB1, EXOG",0.21186654476675,0.00604056183564139,0.0409655028720001,0.00018,0.00168128834355828
GO:0098656,"anion transmembrane transport",14,"LRRC8C, SLC24A4, SLC9A7, SLC24A3, SLC4A9, SLC9A6, SLC9A5, LRRC8A, SLC4A3, SLC4A2, SLC22A9, LRRC8B, SLC9A1, SLC24A2",0.0941386126109337,0.00610126694781221,0.0412023126956235,0.00028,0.00235524861878453
GO:0051168,"nuclear export",6,"AKAP13, LSG1, ATXN1, PHAX, NCBP2, RITA1",0.113604845620432,0.00610254286559153,0.0412023126956235,0.0037,0.0189352941176471
GO:0009650,"UV protection",5,"ERCC4, MFAP4, ERCC1, MC1R, ERCC2",0.0990504716646744,0.0061408569297402,0.0413692684757941,0.00146,0.00883836978131213
GO:0006352,"DNA-templated transcription, initiation",8,"TAF5, MYC, TBPL1, TAF13, NAT14, TAF10, TAF9B, TAF4B",0.114392888316128,0.00620506733731907,0.041709558591913,0.00316,0.0165614457831325
GO:0010212,"response to ionizing radiation",19,"RAD54B, PAXIP1, NABP1, UIMC1, USP28, DNMT3A, DCLRE1C, BABAM2, KRT14, RNF8, RNF168, BRCA1, BABAM1, MRNIP, STAR, DNMT3B, INIP, EYA3, COP1",0.144328105388432,0.00631857693615379,0.042379001697331,0.00014,0.00138409090909091
GO:0043968,"histone H2A acetylation",9,"EPC1, ACTB, MBTD1, ING3, ACTL6A, TRRAP, MORF4L1, MRGBP, EPC2",0.167854487900504,0.00656044155064373,0.0438791000621564,0.00028,0.00235524861878453
GO:1902570,"protein localization to nucleolus",6,"NOP53, RPF2, RRS1, RAN, NOL8, PINX1",0.156367528446335,0.00658267686490788,0.0438791000621564,0.0028,0.0149316987740806
GO:0002009,"morphogenesis of an epithelium",5,"VCL, FRAS1, CRYGS, SOX8, TIMELESS",0.185419459502828,0.00658546756269474,0.0438791000621564,0.00032,0.00262641509433962
GO:0009612,"response to mechanical stimulus",26,"DCN, MMP14, RPS6KB1, MEIS2, CCNB1, CLCN6, IGFBP2, TNC, KCNK2, PPL, PTGER4, BDKRB2, CITED2, JUN, MBD2, CHI3L1, ACTG1, KCNA5, PTCH1, ENDOG, STAT1, MAP1B, ACTA1, FOSB, SUN1, PPARG",0.086613415485166,0.00660530976142393,0.0439152144618687,0.00124,0.00776913580246914
GO:0006897,"endocytosis",92,"GAPVD1, PLA2R1, CLCN5, SNX2, SCARA5, LOXL3, MYO1E, LRRK2, CD163, RINL, ATP9B, BECN1, SORL1, MTMR9, EPN3, STEAP2, RABGEF1, TNK2, OLR1, RABEP2, ITSN2, SNX9, SORT1, NME1, SCARF2, GHR, C9orf72, ENDOU, ANKFY1, ENPP2, LRP1B, PSTPIP1, ARC, LRP2, DENND1B, CLEC4M, EHD2, STON2, RIN1, DENND1A, PACSIN3, SSC5D, DNM3, ZFYVE9, HHIPL1, STON1, DNER, AP2M1, HRAS, CLINT1, DENND1C, NOSTRIN, EHD1, LRP8, RHOQ, DPYSL2, RHOV, AAK1, LDLR, PIK3CB, SH3KBP1, SURF4, ASGR2, CD320, MICALL1, LRP12, SH3GL3, BIN3, REPS1, FNBP1L, AP3M2, CD163L1, SYP, ENPP1, LOXL2, RALBP1, TMPRSS5, CDC42, SSC4D, REPS2, USP33, NCKIPSD, DGKD, ATP6V1H, SNX10, CD6, RUBCN, MARCO, RAB22A, DMBT1, ATP9A, RAB34",0.0886856452148859,0.00662311419091222,0.0439376529658555,0.00036,0.00289234828496042
GO:0043268,"positive regulation of potassium ion transport",8,"ADORA1, DRD1, STK39, FHL1, KIF5B, ACTN2, DLG1, ADRA2A",0.175367454981671,0.00668512413035993,0.0442526151672739,0.00304,0.0160429809358752
GO:0042542,"response to hydrogen peroxide",26,"BCL2, JUN, SLC8A1, STK24, DUSP1, STK25, HMOX1, CASP3, CRYAB, GLRX2, SOD1, BAD, PRDX3, KCNA5, STAT1, STAR, PPP1R15B, UBE3A, FKBP1B, LDHA, SIRT1, SOD2, ADAM9, EEF2, STK26, BAK1",0.110900519154709,0.00670130871155195,0.0442635250036349,4e-05,0.000516101694915254
