cLabel,cID,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
In4b,15,210,"FGF13, KIT, PRELID2, GAD2, PTCHD4, GRIK1, PTPRT, DNER, EYA4, SV2C, MYO16, MGAT4C, ALK, GRIN3A, LAMP5, CDH13, NXPH1, GRIN2A, BCL11B, GRIP1, SPHKAP, RAB3C, TMEM132D, TRPC3, TOX2, NTNG1, KIAA1211, KCNC2, PTPRM, GAD1, LUZP2, DGKD, MTUS2, KAZN, SYT1, AP1S2, FGF14, CXCL14, GNG4, MACROD2, ARL4C, ATP8A2, PDGFD, FSTL5, UNC13C, NFIB, HPCAL1, HTR1E, CNTN5, C8orf34, NKAIN3, PIP5K1B, ADAMTSL3, LSAMP, MTSS1, MCTP1, RPH3A, SYN2, GRM5, UNC5D, SEMA6D, ITM2C, PID1, EGFEM1P, CDK14, TMEM132B, WWP1, IGSF11, TOX, GRIK2, EXT1, CCK, VWC2, DAB1, GRIA1, LRRC7, RIMBP2, SNHG14, GABRD, SLC35F1, EEPD1, XKR4, SPOCK2, CACNA2D1, KIRREL3, EPHA3, KCTD16, CHST11, KIAA1107, BRINP2, SCN1A, CCSER1, NRG1, DPP6, ABI1, CELF4, RGS7, CSMD3, PLCXD3, KCNH5, DOCK9, ATP1B1, SAT1, MPPED1, GABRB2, DGKB, WASF3, GPR155, TMSB4X, KIAA1109, PLCB1, PRNP, RNF150, SH3GL3, NDUFA4, KCNQ3, NAP1L3, PTPRB, DLGAP1, GALNT18, NETO1, ZMAT4, PHYHIPL, ASTN2, GABRB1, ARNT2, FRY, PAK3, ADGRL2, CANX, CAMKV, AMMECR1, GPR158, SERINC1, DSCAML1, GABRG3, MAP3K5, ARID5B, SCG2, GRIN2B, ANKRD26, MPDZ, SAMD12, NPTXR, KIF21A, RASGRF2, WSB1, EFR3B, ANKH, GNAS, TENM4, SH3KBP1, BICD1, USP11, FAIM2, SHISA9, ITM2B, IDS, REV3L, TLK1, LRRFIP2, NMNAT2, YWHAB, SLC2A13, OSBPL6, TSPYL2, HSP90AB1, DOK6, BEX2, NAV2, PTPRO, SDK1, CHSY3, CACNA1B, NAPB, LINC00599, CACNG8, MAST4, RANBP17, LRRTM3, ADAM22, ATP6V1A, CAP2, REPS1, DKK3, BEX1, ASTN1, SCAMP5, PKNOX2, PREPL, LRRC8B, RAPGEF4, FAM49A, SUSD4, TUBB2A, CACNG3, PRICKLE2, ADK, PDZRN3, EPHA5, ATP6V0A1, SLC25A12, NSF, PGM2L1, UCHL1, LONRF2, KIFAP3, MAP7D2, SLC12A5, EML6",0.0433463575929197,0.0755062071933643,0.158181153129032,0.06758,0.156409090909091
In7,18,180,"GRIK1, ROBO2, SST, CDH12, NPY, NCAM2, CALB1, CBLN4, NXPH1, PENK, DAB1, GRID2, KIRREL3, ZNF385D, KIAA1217, TENM3, PTPRM, XKR4, GAD1, SLC24A3, SYNPR, VWC2, KIF26B, SNHG14, GRIK3, NETO2, TOX2, DLGAP1, LRP8, FSTL5, COL19A1, PTPRT, CADPS, KLF3-AS1, GRIP1, THSD7A, RASGRF2, CDH9, TENM2, TMTC1, EPHA6, PCLO, CACNG8, TMEFF2, PCDH15, TIMP2, RBFOX1, PIP5K1B, SCG2, MYRIP, MAN1A1, TIAM1, KIAA1211, ROBO1, ALK, MAP3K5, OXR1, CDH8, PDZRN4, AHI1, PDE4B, KAZN, GRIA3, CNTN6, KIAA1324, LRRFIP1, ADAMTS19, BCL11A, C8orf34, ADCY2, MARCH4, MPPED1, KCNC1, LRRC7, HCN1, PTCHD4, PCDH7, CHRM3, DGKG, HS3ST5, NTRK2, SPARCL1, PACRG, KCTD16, CIT, AAK1, LRFN5, FAM135B, RPH3A, MEF2C, ZNF385B, KCNT1, ETV6, TMSB4X, SH3PXD2A, GRM7, GRIN2A, SLC8A1, SETBP1, LINGO2, CACNA1A, RUNX1T1, KLF12, RPS6KA2, SORBS2, RIMS2, MAP2, RALGAPA2, TSPYL2, GRIA1, CYP46A1, MPDZ, EPHB6, RAPGEF4, PPM1E, MAST4, TMEM108, GRM5, KCNQ3, ATP1B1, NEGR1, CCDC136, FARP1, DMD, FNDC3A, GARNL3, SLC25A12, CUX2, CAMK2N1, HECTD2, OSBPL3, ANKRD26, MAP7D2, CLVS1, INPP4A, PTPRG, PRNP, RCAN2, PDE7B, GIT2, GLG1, CACNA1C, RNF157, LRRTM3, PTPRJ, CORO6, KCNH1, PCDH11X, SYN2, ITFG1, GPR155, PTPRO, EVL, ANKRD36C, PHF20L1, RASAL2, GFOD1, TENM4, CACNG3, ATG7, SCAMP5, FAM19A5, RAB3C, EML6, LIN7A, NR2F1-AS1, NDUFA4, SLC44A5, CACNG2, USP11, CHD5, KIF21A, CSRNP3, ODF2L, CALM3, MAGED1, FAM189A1, DLGAP2, MIAT, CAP2",0.0460643783142297,0.0759269535019355,0.158181153129032,0.08912,0.185666666666667
Ex1,1,244,"CBLN2, ENC1, TESPA1, LRRTM4, PDZD2, FAM19A1, HS6ST3, LINC00507, DGKB, HPCAL1, MLIP, R3HDM1, RGS6, NGEF, LDB2, CHRM3, SORBS2, NRGN, ADGRL2, CUX2, CAMK2N1, KCNIP4, CAMK2A, ARPP19, CACNG3, CHN1, PCDH7, KCTD16, ST6GALNAC5, ATRNL1, KALRN, KCNQ5, ASIC2, ATP2B1, FLRT2, PRKCB, NDST3, MAST3, CAMKK1, HOMER1, DLGAP1-AS4, KIAA1211L, LRFN5, CDH12, KCTD1, BAIAP2, NELL1, LY86-AS1, CREG2, CAMKV, TMEM178B, SHISA9, PDE7B, NECAB1, SYN3, DLGAP2, ITPR1, RFTN1, CELF2, NWD2, SIPA1L1, PLCB1, LINGO2, CDH22, VSNL1, CDH9, RASGRF2, BICC1, TMEM132D, FSTL4, MKL2, WASF1, MIAT, CABP1, DIAPH2, OLFM1, SLC6A7, GULP1, CACNA1E, SATB2, MEIS2, NTRK3, PPFIA2, NLK, PLEKHA5, PPP3CA, GABRB3, TMEM132B, RBFOX1, CACNA2D3, SLIT3, KCNH1, CSMD1, CACNA2D1, RAPGEF5, GRM5, SV2B, DAB1, STXBP5L, MTUS2, KHDRBS2, LRRC7, KIRREL3, RGS7, CNTNAP5, TENM2, MGAT4C, CDH13, DGCR5, DLG2, SLC8A1, GRM7, DLGAP1, GRIN2A, FAM19A2, EML6, SCN3B, PTPRO, BTBD9, EPHA6, FBXW7, CACNA1B, CSMD3, MAP3K5, MAN1A1, ROCK2, DCLK1, AK5, GRIN2B, CHD5, GNAL, GRIA3, SLC17A7, TMEM108, KIAA1549L, DOK6, SORBS1, PRICKLE1, RFX3, CHSY3, ARHGAP32, ACTN1, CNKSR2, LMO3, PAK3, SORCS1, SEZ6L, GALNT18, CACNA1C, SLC2A13, TMEM59L, SLC35F3, NELL2, CAMK1D, CSGALNACT1, HECW1, PPFIBP1, BRINP2, GUCY1A2, KCNB1, CYP46A1, RTN4, PI4KA, NCDN, PDE2A, SLC22A10, SLF1, PHYHIP, TRIM9, MED12L, AHI1, CELF5, MPP6, LMO4, CAMKK2, NPTXR, NIPAL2, LRRTM3, ARHGAP26, LRFN2, CHL1, MAP2, NFAT5, PPM1L, THY1, CAP2, EPHA4, TSC22D1, CNTN3, FRRS1L, ARHGEF7, ADCY1, RASAL2, RAPGEF2, PAK1, RPS6KC1, SYBU, WDR17, SUSD4, THRB, GABRA2, ABLIM2, HSPH1, NEDD4L, NDFIP2, SGCD, LONRF2, RGS4, MAPK1, NEK10, CIT, DCLK2, TRERF1, EFNA5, ARNT2, LRRC8B, ZNF365, BCL11A, MYH10, DPY19L2P1, SCAI, YWHAH, SHANK2, GOLGA8A, KSR2, SUGP2, NPTX1, ST8SIA3, TSPYL1, KCNB2, TMEM232, TLK1, TARBP1, ST8SIA5, DYNC2H1, PLEKHA6, KIFC2, PKNOX2, NETO1, RUNDC3A, SHC3, RPL31, KCNT1, CACNG8",0.0752354918399515,0.0934073753817992,0.179629568041922,0.10766,0.207038461538462
Ex6b,7,174,"SEMA3E, ASIC2, KIAA1217, DPP10, LRP1B, PTPRD, EGFEM1P, ROBO2, DLC1, SLC8A1, PDZRN4, TLE4, CSMD1, CLSTN2, RYR3, FOXP2, RXFP1, MCTP1, RYR2, LRRTM4, TMEFF2, SLC35F1, NRG3, SLIT1, TRPM3, CADPS, SYNPO2, OLFM3, SYT1, NRG1, CELF2, NKAIN2, LUZP2, FRMPD4, KALRN, EPHA5, DLG2, GRIK3, GABRG3, KCNH5, KCNH7, DMD, COL24A1, PEX5L, ATP2B1, SORBS2, SCN3B, DSCAM, PRKCB, SV2B, NPTX1, PDE1A, XKR4, MEIS2, NELL2, CACNA2D3, PCDH11X, ERC2, GRIA3, PRKAG2, CHSY3, DCLK1, ANKS1B, LDB2, KCNMB4, AK5, MMP16, PCDH11Y, LRRC7, SEZ6L, DGKG, CHN1, GRM5, PCLO, DGKI, ADCY1, ZFPM2, NFIB, KHDRBS2, DPY19L2P1, NEGR1, KCNQ5, C8orf34, RAP1GAP, FRAS1, NRCAM, GRM3, CACNA1E, NDFIP2, CCSER1, DOCK4, CAMK2D, DIP2A, ADAM23, PRICKLE1, CNTNAP5, GARNL3, SLIT3, POU6F2, BCL11A, HECW1, PCDH7, DSCAML1, RIMS2, PLEKHA5, NGEF, SLC17A7, FBXW7, MARCH1, MAP2, CHRM3, SOX5, DOK6, GUCY1A2, OXR1, CAMK2G, NAV3, DKK3, STXBP5, ARHGAP26, TENM3, DYNC1I1, KIAA1211L, CABP1, PAK3, PRICKLE2, PTPRR, KCTD1, CELF4, CACNG3, SORCS3, CDH2, SEPT11, ASAP1, MKL2, WDR17, GAS7, MLIP, PGM2L1, GABRB3, CACNA1B, MIAT, PPM1E, GPR158, LRRTM3, PTPRG, EFNA5, UCHL1, RAPGEF4, ZNF385B, HIVEP3, CAP2, SOBP, ANKRD36B, HIVEP2, SCN3A, STRBP, TMEM232, ARHGAP44, CHD5, AEBP2, CELF5, ARHGAP32, FUT9, HOMER1, CSRNP3, KIFC2, PPM1L, PDS5B, KCNB2, ATP2C1, THY1, DLGAP2, SUSD4",0.0433929039358968,0.154362292463719,0.27564695082807,0.15602,0.278607142857143
In8,19,152,"GRIK1, SST, ROBO2, SYNPR, NXPH1, KIAA1217, ROBO1, CNTNAP2, PCDH15, XKR4, MAFB, GRIN3A, CDH13, GRIK3, GAD1, TENM3, KIF26B, GRIP1, GRIK2, PCDH11X, MGAT4C, RAB3B, SPARCL1, PLCH1, DLGAP1, CDH9, ST6GALNAC5, PTPRM, ASTN2, STXBP6, SNHG14, LRP8, RBFOX1, ADCY2, DAB1, EPHB6, TIMP2, RASGRF2, NETO2, TENM2, SLC24A3, WLS, OXR1, TRHDE, GRIA3, KLHL5, PCDH11Y, RAB3C, GAD2, CACNA2D3, CADPS, BCL11A, KCNC2, GNAS, NETO1, GRIA1, TMSB4X, FRMD4A, TIAM1, RUNX1T1, RPS6KA2, TENM1, MPPED1, CDH8, SYT1, TMTC1, PCLO, DMD, GRIN2B, AAK1, CTNNA2, SLC44A5, PHF20L1, NTRK2, L3MBTL4, PIP5K1B, RIMS2, CHRM3, TLN2, CCDC136, ARL4C, PPM1K, OSBPL8, CNTN4, FARP1, ATP1B1, MYRIP, NAV2, CHD5, CELF4, SLC8A1, TMEFF2, ENOX1, EPHA6, LRRFIP1, UCHL1, DPP6, FAM135B, MAGI1, CDH12, RPH3A, HSP90AB1, ANKRD36C, TUBB2A, IDS, TMEM178B, RYR2, TSPYL2, VSNL1, THRB, CCSER1, KCTD16, SCAMP5, PTPRO, ITFG1, MTUS2, PTPRG, NCALD, ADGRL2, CACNG3, KCNB2, THSD7A, ANKRD26, BEX1, TMEM130, PRNP, AHI1, LRRC8B, CACNG8, GRM5, RCAN2, SPATS2L, SERINC1, HCN1, EVL, ARNT2, PDS5B, OIP5-AS1, KIF21A, SETBP1, SLC25A12, ANKRD12, NDRG4, ABR, FAIM2, NDFIP1, RUNDC3B, MPDZ, GARNL3, WSB1, TMEM59L, CALM3",0.0320351325746454,0.205804686007966,0.343007810013276,0.23142,0.3857
Ex8,8,235,"KCNIP4, RGS12, NRG1, SORBS2, KCTD16, ERC2, NTNG2, FRAS1, LSAMP, CADPS, GALNT14, CLSTN2, THEMIS, SYT1, PDZRN4, NWD2, TMEM132D, HPSE2, NR4A2, EGFEM1P, TENM4, GNG2, SOX5, SEMA6D, SYNPR, DLG2, RIMS2, RIT2, CDH12, SLIT1, PDE1A, RBFOX1, RXFP1, CSMD1, MAGI3, TESC, TRPC5, SATB2, AK5, DACH1, CPNE5, PPFIBP1, ARNTL2, KALRN, ITGB8, CCK, LAMA4, TENM3, GSG1L, RASGEF1C, RPL31, RASGRP1, TMSB10, CBLN2, CSGALNACT1, ARAP2, SETBP1, CUX1, MMP16, SUSD4, MAP2K1, CACNA1B, CELF2, DSCAML1, MCHR2, CADPS2, KCNQ3, MGAT5, ADCY2, UNC5D, INPP4B, CACNA1E, DGKI, PLEKHA5, CPNE4, CACNA1C, CACNA2D3, SGCD, NELL2, FRMD4A, RPL23, TRHDE, KHDRBS2, KCNQ5, SYNJ2, CHSY3, LRFN2, CNTNAP5, RPS18, GABRG3, ADGRL2, NECAB1, DCLK1, CPLX2, FMN1, SEZ6L, NPTX1, SORCS3, MTUS2, GRIP1, DGKH, CHRM3, SIPA1L1, RPL37A, CDKL5, LMO4, SORBS1, NELL1, ADAM23, EFNA5, GNG7, PRICKLE2, KCNT2, ABCC8, ENOX1, SHC3, PDZRN3, CDC14B, BAIAP2, RPL13A, CELF4, PRKCB, PTPRT, ZNF385B, FBXL2, POU6F2, MCF2L2, CNTN4, CDH2, CAMKK2, RPS27A, VPS13D, NRCAM, NDFIP2, LRRN2, ADGRB3, ARPP19, CDK14, RPL35, SNCA, SLC8A1, RPL27, RPL32, LINGO1, SEPT11, HINT1, ST8SIA5, MBOAT2, GRIA1, RPS24, MAST3, CCDC3, ATP2B2, PDE2A, OSBPL3, CTNNAL1, EPHA4, SV2B, MIAT, MKL2, FOXP1, PTPRO, TAGLN3, RPS15, GNPTAB, NAV3, RPL37, MAN1A2, CAMK1D, RPLP1, CREG2, GAP43, ATP2B1, PTPRR, TRIM9, UNC13A, KCTD1, CYTH1, TMEM178B, GABRB3, MEF2A, CCNI, GUK1, ITPR1, NPAS2, SLC17A7, WSB1, MAGI1, UCHL1, ACTN1, ARHGAP44, RPS19, RPL38, DYNLL1, RPL3, RPS14, FMN2, EXOC6, CHD5, SCN3A, CABP1, HOMER1, PRICKLE1, SOBP, DLGAP2, BRINP2, STMN1, SLF1, PACRG, WASF1, TTLL11, PPFIA2, GUCY1A2, THY1, STXBP5, ROCK2, OLFM3, PPP2R5C, GFOD1, ICA1L, NETO1, DZIP3, TACC1, KIAA1211L, TARBP1, ZNF365, CELF5, FHOD3, PLXNA4, RPS6KC1, RSRP1, DOK6, KIF5A, ABLIM2, KIFC2",0.0320613331573545,0.293704311641535,0.458912986939899,0.34556,0.454684210526316
In1b,11,174,"CXCL14, CNTN5, CNR1, RGS12, PRELID2, C8orf34, GRIK2, CNTNAP2, NR2F2-AS1, NR2F2, FSTL5, GRIK1, SCG2, ADRA1A, INPP4B, SYNPR, THSD7A, SDK1, NCAM2, CDH9, DAB1, CCK, L3MBTL4, COL21A1, GAD2, SHISA9, GAD1, SORCS1, CHST11, DNER, ZNF385D, RERG, CHSY3, BTBD11, PTPRM, ASIC2, IL1RAPL2, NTN4, LINC01197, LINGO2, PLPPR1, SLC44A5, CNTN4, RAB3C, TIMP2, ARNT2, PEX5L, PRR16, DSCAM, ADCY2, EPHA6, SLC24A3, MTUS2, SNTG1, KAZN, COL16A1, ARL4C, SNHG14, DPP10, TTC28, BICD1, CHRM3, ATP1B1, GABRB1, ROBO1, HS3ST5, LSAMP, GRIP1, FRMD4A, HDAC9, LRRN3, KCNC2, PTPRO, ZMAT4, DCC, GNAL, KCNT2, RIMBP2, DGKB, PCDH10, PGM2L1, GRIN2B, DOK6, EXT1, MIR99AHG, RPH3A, LUZP2, TMEM108, PLEKHA5, PRICKLE2, SCN3A, CHL1, NRG3, KCNB2, SEMA6D, CACNA1B, PDE7B, PID1, TENM4, ZBTB16, NAP1L3, GNAS, HS6ST3, FRMPD4, MARCH1, SHANK2, THRB, KCNQ3, ANKRD26, CACNA2D3, NETO2, REV3L, PTPRS, CDH12, MAML3, PRKCA, CDH8, VWC2, DKK3, SORCS3, SCLT1, CEP112, PKNOX2, OXR1, GPHN, SUSD4, MYRIP, MAGI3, TUBB2A, NPAS2, NMNAT2, CACNA1E, NPTXR, PLPPR4, TSPYL2, SLC35F1, EPHA5, RIMS2, CSMD3, SRRM4, PAK3, PTPRE, GRIA1, TENM3, FAM189A1, CORO6, GPR137C, GABRA1, SLCO3A1, XKR4, NAP1L1, KCNQ5, RANBP17, RPL37A, GABRG3, PDS5B, USP11, ABLIM2, RPS6KA3, ARL15, CELF4, PHYHIPL, ZNF483, KCND3, NDFIP1, GABRB2, SYN3, SERINC1, MACROD2, PLD3, TMEM130, SCAMP5, CACNG8, ACTG1",0.0171671258267514,0.314221181153369,0.462089972284367,0.34056,0.454684210526316
In1c,12,141,"TAC3, VIP, SYNPR, ROBO2, CXCL14, CALB2, RGS12, SCG2, CRH, CNR1, C8orf34, EGFEM1P, SLC24A3, ARL4C, CCK, KCNT2, THSD7A, GAD1, SNTG1, CNTNAP2, IGF1, LRP1B, VWC2L, PCP4, GRM7, ROBO1, GNAS, SOBP, SNHG14, DSCAM, GRIA1, GABRG3, PTPRE, SDK1, SORCS1, TIMP2, TENM3, CIT, L3MBTL4, NKAIN3, CNTN4, TMEM132D, BTBD11, NR3C2, SEMA6D, KIAA1211, RGS6, CHRM3, MYRIP, CSMD1, NETO2, ZNF292, ASIC2, DNER, GNAL, CNTN5, CCNI, CLVS1, NAP1L3, LRRC7, LRRC4C, REV3L, FRAS1, VWC2, NPTXR, CACNA2D3, DAB1, KAZN, FRMD4A, PLXNA4, HSP90AB1, NELL1, ARNT2, SEZ6L, NCAM1, TNIK, MAP1B, SERINC1, OLFM3, TTC28, GRIN2B, GABRA1, TMEM132B, SCAMP5, LINC00461, ATP1B1, DCLK1, PPM1E, SLC25A12, SRRM4, KCNB2, PAK3, CDH10, ANKRD12, MAN1A2, ALCAM, INPP5F, TSPYL2, KCNH7, OSBPL1A, ANKRD26, TMSB4X, NDFIP1, CNTNAP5, ZBTB16, CACNA1E, CTTNBP2, SLC44A5, HDAC9, CSMD3, NFIB, SORCS3, CACNA1B, IDS, ACTG1, USP11, CCDC91, NCALD, ZNF483, SETBP1, CHSY3, MIAT, SCN3A, FRRS1L, CPLX2, SHISA9, DKK3, GRIP1, THRB, CLSTN2, TFDP2, ITM2B, MARCH6, TMEM130, NEDD4L, HSP90B1, RTN3, PCDH11X, TMEM59L, CDH13, MAGI3",0.0121038727136535,0.337416128694658,0.468633512075914,0.32684,0.454684210526316
Ex9,9,147,"CALM3, NEFL, YWHAH, RGS4, NRGN, TMSB4X, TUBA1B, TMSB10, THY1, YWHAG, SYP, CHN1, RTN3, CADM3, FTH1, NRN1, ENC1, MAP1B, ATP6V1B2, NAPB, FAIM2, CALM1, GPX3, DLG2, ACTB, ARPP19, STMN2, UQCRH, RPL41, PGAM1, SNAP25, SERINC1, NEFM, SNCG, SNCB, NSF, ADGRB3, PREPL, TSPYL1, ATP1B1, ATP1A3, PHYHIP, ATP6V0E2, PRNP, ATP2A2, NDRG4, GNG3, DYNLT3, RAB6B, GAP43, SERF2, RNF11, LRP1B, GUK1, CYCS, DHCR24, SNCA, OLFM1, DPYSL2, EIF1, LINGO1, RPL15, SYN1, RTN4, NRG3, SYT4, GHITM, SCOC, DYNLL1, GPX4, YWHAB, FTL, NCDN, BRK1, HINT1, WSB2, SPOCK2, NAT8L, HOPX, CSMD1, SERINC3, GDI1, SYNGR1, BNIP3, SLC17A7, CTXN1, DKK3, KLHDC3, STXBP1, REEP5, VSNL1, SNX10, CAMK2A, STMN3, TPI1, TMEM160, TOLLIP, SNHG14, LY6E, PTPRD, PIN1, ATP6V1A, ISCU, CPLX1, YWHAZ, GPHN, LSAMP, KCNIP4, PCP4, GABRA1, CREG2, SLC39A10, SNX3, NLGN1, BAD, LRRTM4, CEND1, ANKS1B, SNRNP25, DIRAS1, NUDT4, LMO4, SIRPA, DMD, CCK, TMEM59L, CHCHD10, SYT13, ATP1A1, MORF4L1, RPS15, SH3BGRL3, CHGA, PPDPF, NRXN1, CCSER1, FKBP1B, GOT1, CPE, LDHA, KIF5A, FRMD4A, POLR2K, NKAIN2, RUNDC3A, SNTG1, TAGLN3",0.0405197971846432,0.360855553061247,0.474809938238483,0.3368,0.454684210526316
Ex3e,3,268,"NRGN, TUBA1B, UCHL1, OLFM1, NEFL, TMSB4X, TMSB10, CHN1, ENC1, CCK, CALM1, SLC17A7, ARPP19, YWHAH, MAP1B, FTH1, SNAP25, CALM3, VSNL1, NEFM, LMO4, BEX1, TUBB2A, PRNP, TUBA1A, STMN1, RTN3, THY1, HSP90AB1, YWHAG, RGS4, DYNLL1, SPARCL1, ACTG1, CREG2, NDUFA4, MTCH1, HSPA8, RAB6B, SCN3B, SYT1, BASP1, YWHAB, NAPB, CRYM, YWHAZ, TUBA4A, TPI1, NDRG4, STMN2, TAGLN3, MDH1, GNAS, ATP6V1B2, REEP5, HINT1, SERPINI1, CLU, RTN4, GDA, BEX2, TMEM59L, CHGA, TSPYL1, ATP6V1E1, SLIT1, GAP43, GHITM, ARF1, SNCA, SRP14, SV2B, IDS, CAMKV, TOLLIP, ACTB, SKP1, GDI1, NSF, PDP1, NECAB1, COX4I1, TSC22D1, SYN1, STXBP1, TMEM130, RUNDC3A, SERINC1, GABARAPL2, NDFIP1, SYNGR1, ELAVL4, GUK1, STX1A, ITM2C, NAP1L2, SOD1, RPS14, RIMS3, CAMK2A, ATP1A1, ST6GALNAC5, FBXW7, CNRIP1, RPL15, RPS27, SLC25A3, MKL2, CABP1, LINGO1, MAPK1, DSTN, PCMT1, SIRPA, RAC1, TMEM160, ATP2B2, ATP1B1, NCDN, WBP2, PACSIN1, NDUFB2, STMN3, PRKCB, PEA15, HSPH1, BAALC, KIF5A, DKK3, EIF1, UQCRH, PGM2L1, SYT4, DPYSL2, NAP1L1, NELL2, ATP6V1A, EIF4G2, BLCAP, EPHA4, KIF3C, SLC39A10, MEF2C, ENO1, WASF1, MAST3, NPTX1, SATB2, USP11, NUAK1, NDFIP2, LMO3, RPLP1, SLC6A7, PREPL, DNAJA1, NGEF, CHL1, RNF11, RPS27A, ATP2B1, ATP2A2, SYTL2, RHBDD2, HNRNPDL, GABRA1, NRCAM, ATP9A, RAP1GAP, EPHB6, RPL31, ST8SIA3, NDUFV1, FAIM2, PDE2A, RPS15, INPP5F, SYN2, CAMKK2, PHYHIP, SLC12A5, RPL35, TSPYL4, MT3, CA11, PIK3R1, LDHB, GABRG2, FHL1, PAK3, FEZ1, RPL3, PLEKHB2, KIAA1549L, CNTN3, MAP1LC3A, TESPA1, MIR124-2HG, NISCH, NCALD, SYNJ1, OPTN, PAK1, CDH8, CAMK2N1, ITM2B, APBB1, TRIM37, NPTXR, MARCH6, RPL32, GOLGA8A, DCLK1, ENSA, PLD3, SCG2, RPL38, ADCY1, PPP3CB, CHD5, FZD3, ANO5, KIFAP3, CDKL5, HSPA12A, NCKAP1, KIFC2, CPNE4, YPEL3, MORF4L1, LONRF2, ATL1, SRSF5, PKD1, ATP6V0A1, BSN, RPL23, CAP2, KIAA1211L, DYNLL2, ZNF483, APBA2, ADD2, MAP7D2, SYP, SEPT11, SORL1, SYBU, TARBP1, CELF5, KCNQ2, ELMOD1, SSX2IP, FAM49A, AKAP11, MAPRE2, PI4KA, VPS41, HSP90B1, MYH10, ACSL3, SCN8A, UNC13A, TSPYL2, KCNB1, SEC62, SCAMP5, CACNG8",0.0250759776306227,0.412690144714353,0.515862680892942,0.37996,0.47495
In1a,10,181,"CCK, CNR1, CXCL14, CRH, CNTN5, ROBO2, RGS12, WIF1, RELN, NR2F2-AS1, IL1RAPL2, NECAB2, GRIP1, GRIK2, SORCS3, ROBO1, PLCXD3, AP1S2, GRIK1, SHISA9, TIMP2, ARL4C, ZNF385D, NPAS1, ADRA1A, MYO16, CNTNAP2, PLS3, IGF1, GABRA1, GAD1, KIAA1211, SYNPR, PID1, SCG2, SEMA6D, COL16A1, RAB3C, DNER, KCNT2, GABRG3, KCNQ5, CHRM3, WWP1, CHL1, L3MBTL4, INPP4B, SEZ6L, CACNA1B, ATP1B1, CDH4, GAD2, FSTL5, MTSS1, ENOX1, SGCD, ALK, DAB1, NRXN1, PLPPR1, GABRG2, KAZN, VWC2, MAML3, ARNT2, FOXG1, HS3ST5, LINGO2, NFIB, KCNQ3, GNAS, FGF14, ASIC2, DGKB, NR3C2, PTPRM, SYT1, CAMK2D, TTC28, SPOCK2, NMNAT2, CDH8, CPLX2, BICD1, PRKD1, DPP6, REV3L, PHYHIPL, GRIA1, PLCB4, DKK3, SLC2A13, C8orf34, LINC00461, PRNP, DOCK9, CLVS2, KCND3, KCNC2, KCNJ3, GRIN2B, GPR137C, EPHA6, RTN3, DSCAM, MGAT4C, NDRG4, NXPH1, CSMD3, MGAT5, CHST11, CDH13, PRKCA, PARM1, UCHL1, FRMD4A, SUSD4, PRR16, MBOAT2, HSD17B12, ATP6V1A, ZBTB16, CANX, ANKRD26, NPTXR, MAN1A1, TUBB2A, TUBA1A, PHTF1, SERINC1, KIF21A, NAP1L3, ATP1A3, NETO1, IDS, PHF20L1, BACH2, PCLO, PAIP2, AIG1, CNTN3, HSP90B1, PLPPR4, RIMBP2, ITPR1, CELF4, GPR155, CDH9, ACTG1, OSBPL8, COX4I1, CELF5, FRRS1L, RNF157, LARP1, ALCAM, GABRB2, NETO2, FRAS1, HDAC9, PDXK, USP11, KCNB2, PREPL, MAP7D2, PTPRS, MARK1, SORCS1, GABBR1, SCAMP5, PLD3, NDFIP1, SYN2, ATP6V0A1, EPB41L1, RAB6B, DOPEY1, SLC25A12, FAM189A1, TFDP2, ZNF483",-0.00970855644341692,0.58040128449039,0.661998069895008,0.598,0.682318181818182
