"labels","5HT1a_cumi_hc8_beliveau","5HT1b_p943_hc65_gallezot","5HT2a_cimbi_hc29_beliveau","5HT4_sb20_hc59_beliveau","5HT6_gsk_hc30_radhakrishnan","5HTT_dasb_hc100_beliveau","GABAa-bz_flumazenil_hc16_norgaard","NMDA_ge179_hc29_galovic"
"7Networks_LH_Vis_1",34.7256170654749,0.481878643072968,46.6410846743367,1.97308883565914,0.327083170103641,4.48367442569786,788.64334895373,6.81949675659057
"7Networks_LH_Vis_2",49.0750520289073,0.477926736930107,47.8398726766563,2.1450671325208,0.385848593529864,6.27924609827155,775.33449907105,6.48026521301216
"7Networks_LH_Vis_3",26.1691973437366,0.63610410037859,46.7245729753998,1.86820297732925,0.369909264141307,3.92841441243294,789.344437794405,7.03542548366692
"7Networks_LH_Vis_4",30.951574352004,0.710747044191409,50.3005108824596,2.03137041262415,0.403947310225375,5.33751957477192,873.384524124133,7.21684816691831
"7Networks_LH_Vis_5",23.7734096630449,0.7697529179689,48.3240311497585,1.89536178336953,0.405218307628198,4.57770558544329,862.050359847258,7.07697614464963
"7Networks_LH_Vis_6",23.2940726850862,0.571822035074666,49.907267715266,1.86501620146455,0.284113503460844,3.94967851081483,763.5091228573,5.88486793091198
"7Networks_LH_Vis_7",31.3897792647404,0.295306056938231,26.7066434641005,1.47346581789358,0.075774238311572,4.62688897789589,570.284855722379,5.50663431130583
"7Networks_LH_Vis_8",30.9702312817712,0.742379996256695,53.7433098757415,2.22691876704707,0.461710132800535,3.87080034444606,781.600069250267,6.41297261320648
"7Networks_LH_Vis_9",15.8624789242386,0.589071526306557,46.4615041123027,1.47499505844019,0.259811868860129,4.35553924756307,833.729982164931,6.97146299400289
"7Networks_LH_Vis_10",19.0775917751674,0.505916694121799,44.160591662177,1.51371221548764,0.183728422498258,4.86860980730504,893.310514319034,6.82068121580406
"7Networks_LH_Vis_11",16.9812779492588,0.848979904352229,48.4943882135507,1.54490475651811,0.188026521399743,4.98497943380697,884.322724815005,7.15013723684171
"7Networks_LH_Vis_12",14.7785270761066,0.59914153546709,50.0234137010101,1.37143390232961,0.200711857486024,4.32026260607575,745.788050798875,4.87588601353522
"7Networks_LH_Vis_13",25.5009016294217,0.202004761261576,24.8704168633363,1.46370751393,-0.064765840183476,4.65571019409209,515.741571960449,5.80926239404557
"7Networks_LH_Vis_14",25.4302889203642,0.826141310901,55.3197059914092,2.02005354227145,0.351536590817158,3.95939096556246,704.008606386683,5.00537632511416
"7Networks_LH_Vis_15",10.417191197098,0.696810622856222,49.7919230712552,1.23400216914238,0.170309717381342,4.60597261226806,807.988613169035,6.00498495393307
"7Networks_LH_Vis_16",19.4192166243026,0.821534665834778,51.9881840777041,1.61156381048373,0.272573300280787,6.36117820241558,899.840694130711,6.90984394309916
"7Networks_LH_Vis_17",32.0800904337844,0.832983792960904,57.5648607239373,2.32986990798318,0.473760624863356,4.60408144319097,784.128397979791,6.24258159131839
"7Networks_LH_Vis_18",10.1195587863786,1.64150153952242,54.2483959261728,1.34922920582118,0.559445738012395,5.5036183898944,1045.22499204049,7.28222148580311
"7Networks_LH_Vis_19",19.8182628686207,1.14043387410278,52.4841338439135,1.82580298201103,0.395128401864707,4.43525525021658,740.992592220125,5.7654310491604
"7Networks_LH_Vis_20",25.4504988707436,0.520988753232529,36.1024268748505,1.73577761856307,0.118689064036325,5.31480496349434,659.619164724536,6.46154604500649
"7Networks_LH_Vis_21",13.2619047463816,1.58402703335008,58.0749182743144,1.59419016944323,0.566752034848633,6.61622892631023,1059.34707238883,7.43491883012865
"7Networks_LH_Vis_22",19.905717742491,1.2490336805321,54.6122144254815,1.77850910853669,0.479785700383827,6.90493523643678,871.90421756932,7.00626458689244
"7Networks_LH_Vis_23",28.7168391732609,0.919946604297143,57.1122036393582,2.34944303043117,0.394304047473335,4.1736648798727,724.748034986797,5.55568001164983
"7Networks_LH_Vis_24",16.0267722943578,0.824384894542967,47.5407836615342,1.66081637616205,0.276007202736273,4.94163077592206,714.286476032442,5.54159342380708
"7Networks_LH_Vis_25",18.0748850954028,0.926645707410257,49.93668365696,1.72169762571154,0.446264510737182,5.740761450786,843.454819099292,6.51816834712048
"7Networks_LH_Vis_26",21.2783990654027,1.10002663264217,55.3276380762808,1.9636628574049,0.554039367804364,6.42883939384855,887.15491031582,7.22400328270651
