cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
positive regulation of ion transport,163,"CACNG3, CALM3, FGF14, STK39, MCHR1, CCR1, DPYSL2, PKD2, CNKSR3, STIM1, P2RX5, ERFE, GJC2, TRPC1, KCNA1, SNCA, GLRX, KCNMB4, KCNJ16, RELN, FGF12, PINK1, DLG1, CEBPB, ALG10B, PRKCD, ATP8A1, TOR2A, KCNH2, CXCL12, PLA2G4A, GNG2, CASQ1, TREM2, KCNN4, ANK3, CCL2, VAMP8, ADRA2A, ACTN4, KCNJ2, KCNN3, FXYD1, PTGES, SLC9A1, KCNJ4, KCNJ5, EDN1, TSPO, ADRB2, SLC38A3, IL1B, CEMIP, CCK, CAPN3, WFS1, BAK1, MYLK, PLA2R1, PIRT, KCNJ12, OPRK1, ADORA1, ITGB1, EPHB2, CALM2, SCN4B, SPHK2, MAP2K6, STAC2, RAMP3, RGS9, GSTM2, RAB3B, KCNJ11, COX17, ABCC8, KCNMB1, ACTN2, TRPV2, SCN3B, ATP2C2, KCNC1, CREB3, AKAP6, GPER1, DRD2, KCNMB2, TMSB4X, MIF, CNTN1, ATF4, SHANK3, CACNB2, ATP1B1, HOMER1, GPD1L, APLNR, ABCA7, DMD, P2RY6, NOS1AP, P2RX4, LRRC38, NTSR1, KCNIP2, RYR2, STXBP1, MLLT6, TESC, KCNC2, SCN1B, ARC, THY1, AKAP7, CACNG4, WNK1, KCNQ1, ATP2B1, CRH, CAMK2A, CASK, RGS7, KCNE5, DBI, FHL1, TRH, DTNBP1, RGN, APOE, PLP1, CACNG2, EDNRA, DRD1, CACNB3, P2RY12, LRRC55, CDK5, STIM2, ADCYAP1R1, ARF1, TRPC3, ATP8A2, NPPA, NDUFA4, CACNA2D1, CALM1, GAL, KCNJ3, GABBR1, PDGFB, EDN3, SYT1, KIF5B, NOS1, RAB3GAP1, PRELID1, ATP1B3, CHRM1, PLCG2, SYT4, KCNN2, TNFRSF11A",163,163,0,1.0,0.0353180430829525,-2.886579864025407e-19,0.1673832616738326,two-sided,0.5983663610594671
regulation of triglyceride biosynthetic process,13,"CNEP1R1, RGN, LDLR, MFSD2A, FITM2, NR1H2, GPLD1, NR1H3, PLIN5, C3, SREBF1, FBXW7, DGAT2",13,13,0,1.0,0.035299286246299744,-1.4654943925052066e-18,0.32156784321567844,two-sided,0.6470711097037938
regulation of mitochondrial membrane permeability,43,"PPIF, ALKBH7, BBC3, CAMK2A, TFDP2, YWHAZ, TFDP1, SIVA1, NMT1, RTL10, PPP3CC, YWHAG, BLOC1S2, SLC25A4, TP53BP2, EYA2, BAD, THEM4, STPG1, E2F1, YWHAB, BAK1, TMEM14A, YWHAH, PPP3R1, PMAIP1, HSPA1A, NOL3, BNIP3, HK2, RHOT2, CHCHD10, YWHAQ, BID, BCL2, SLC25A5, ATP5IF1, HEBP2, SLC9A1, BCL2L11, ACAA2, BCL2L2, FZD9",43,42,1,0.9767441860465116,0.035287074744701385,-1.6764367671839864e-18,0.20137986201379862,two-sided,0.6052147219926906
semaphorin-plexin signaling pathway involved in neuron projection guidance,11,"PLXNA3, EDN1, PLXND1, PLXNB2, PLXNA1, PLXNA4, NRP2, NRP1, SEMA3A, PLXNC1, EDNRA",11,11,0,1.0,0.03527916595339775,-2.9531932455029162e-18,0.30486951304869514,two-sided,0.6383478414336217
positive regulation of GTPase activity,191,"SNX9, SH3BP1, ARHGAP26, SEMA4D, DEPDC1, RASGRP2, AFDN, NEDD9, RGPD4, RGS4, ARAP2, SGSM1, DOCK9, RGS1, SFRP1, VAV1, DLC1, WDR41, RGL2, DOCK7, WNT4, TBC1D19, PREX1, ASAP1, AGRN, RGS10, S100A10, CAV2, RAPGEF2, TBC1D30, GNAS, RGS12, EIF5, TBC1D12, ARHGAP33, RAP1GAP, ARAP1, RAB11FIP2, TBC1D1, RGN, SIPA1L2, ARHGAP6, MYO9B, ASAP2, RUNDC1, ELMOD1, RAPGEF5, RSU1, DOCK4, RASAL1, OPN3, FAM13B, ARFGAP3, RALGAPA1, RALGPS1, WNT5A, TBC1D8B, S1PR1, AGAP1, STARD13, SRGAP2, RANBP2, TIAM1, CCL2, GNB5, RASGRF1, SGSM2, SIPA1L1, ARHGAP36, RGPD3, RAPGEF1, TBC1D16, TSC1, ADCYAP1, CHN2, ELMOD3, GARNL3, RASAL3, GDI1, ARHGEF7, RGL1, SIPA1L3, RALGPS2, RAPGEF4, THY1, AGFG2, DENND1B, FZD10, ZC3H15, TBC1D4, TBC1D13, RIN1, RAB3GAP1, RGS14, SNX13, ARHGAP42, ACAP3, ANKRD27, ARHGAP45, MAPRE2, PIN1, EVI5, RASGRP1, RABEP2, C9orf72, GIT1, RINL, HRAS, ITGB1, RGS18, RAPGEFL1, RGS17, ARHGAP27, TBC1D10C, RGS6, RASGEF1B, AGAP11, GAPVD1, ARHGAP25, TBC1D9B, TBC1D26, RAPGEF6, TBC1D8, RGS8, RALGAPB, RGMA, TBCD, AGAP2, TBC1D2, ARHGAP29, TBC1D24, SYDE2, FERMT2, RASGEF1A, ARHGAP9, DEPDC5, ADAP2, GMIP, ARAP3, RGS2, ARHGAP10, DOCK8, IQSEC1, ARHGDIB, ABR, NTRK3, USP6NL, GIT2, RASAL2, AGAP5, RALGAPA2, AGAP3, TIAM2, RANBP3L, ASAP3, DENND1A, ARHGDIA, KALRN, RASGRP3, BCAR3, NGEF, RTN4R, FAM13A, CHN1, RASGEF1C, ALS2CL, NDEL1, CHML, RASGRF2, RHOG, SIPA1, ARHGDIG, BCR, SOS1, ARHGEF11, RGS7, ARHGEF16, SRGAP1, DVL2, RGL3, CDKL5, NET1, RCC2, ARHGAP22, RALGDS, TBC1D14, RALBP1, TBCK, ERBB2, ADRB1, RGS16",191,190,1,0.9947643979057592,0.03526531159877777,-1.887379141862766e-19,0.06879312068793121,two-sided,0.5895758749483904
feeding behavior,41,"SLC24A4, ATP8A2, DRD2, MCHR1, GIGYF2, CCK, NEGR1, NTRK2, APLN, BBIP1, NPB, RMI1, HTR2C, UCHL1, TRH, OXTR, OPRM1, GAL, OPRL1, NR4A3, CPT1A, CNTN2, NPY1R, DERL2, TTC21B, MRAP2, SGIP1, NPY, UBE2Q1, NPY5R, ACE, FOS, MC1R, USP46, OPRK1, NMU, NAPEPLD, CARTPT, DACH1, TBR1, DRD1",41,41,0,1.0,0.035258010029792786,1.021405182655144e-18,0.22447755224477553,two-sided,0.6190061588084459
positive regulation of interleukin-6 production,43,"DHX9, WNT5A, ADCYAP1, TLR4, IL1RAP, TMEM106A, POU2AF1, CARD9, TYROBP, IL6R, PLCG2, MBP, HMGB1, BCL10, TIRAP, TNF, TLR2, AIF1, AKIRIN2, SPON2, TLR3, IL17RA, MAPK13, IL17D, ADORA2B, IL1B, C1QTNF4, LPL, SPHK2, SYK, RIPK2, IFIH1, TICAM1, CD74, RAB7B, ISL1, IL33, TWIST1, PYCARD, ARID5A, XBP1, NOS2, POU2F2",43,42,1,0.9767441860465116,0.03525431454181671,-1.0880185641326534e-18,0.10488951104889511,two-sided,0.5895758749483904
sperm axoneme assembly,13,"CFAP44, UBE2B, SPEF2, ARMC2, TTLL1, NEURL1, MNS1, SPAG16, CFAP69, CEP131, TTC12, MEIG1, CFAP65",13,12,1,0.9230769230769231,0.035237301141023636,-3.4194869158454823e-18,0.3300669933006699,two-sided,0.6527413542041128
"regulation of synaptic transmission, GABAergic",21,"ZDHHC3, BAIAP3, ZDHHC12, USP46, CNR1, DRD2, CLN3, SYN3, KIF5B, TAC1, KRAS, NISCH, NPY5R, STXBP1, PHF24, CA7, ADRA1A, ADORA1, PLCL1, NLGN1, OXTR",21,21,0,1.0,0.03522077575325966,-7.105427357601002e-19,0.17478252174782521,two-sided,0.6007011207438532
positive regulation of regulated secretory pathway,34,"CACNA1I, ITGAM, RAB15, KLRC2, CACNA1H, KCNB1, STX1A, NPPA, CDK5, SLC4A8, SYT4, UNC13B, LAMP1, HLA-F, CNR1, PRRT2, NLGN1, RAB3D, IL4R, CACNB2, VAMP8, DOC2B, CACNA1G, HYAL3, SPHK2, SYT1, SYT10, STXBP1, SYK, ARF1, FGR, SCAMP5, ITGB2, ADORA2B",34,34,0,1.0,0.035219211131334305,-1.176836406102666e-18,0.19118088191180882,two-sided,0.6007011207438532
negative regulation of phospholipid metabolic process,8,"LPCAT1, WASHC1, PIP4K2B, PIP4K2A, PDGFB, PDGFA, RUBCN, APOC1",8,8,0,1.0,0.035189684480428696,9.2148511043888e-19,0.24857514248575144,two-sided,0.6241799854349329
lens morphogenesis in camera-type eye,13,"TDRD7, SOX11, PROX1, MEIS1, NECTIN1, ATF4, NECTIN3, BCAR3, LCTL, SHROOM2, SKI, CTNNB1, CITED2",13,13,0,1.0,0.035157643258571625,-1.1990408665951691e-18,0.15758424157584242,two-sided,0.5983663610594671
negative regulation of interleukin-8 production,11,"MAP2K5, TMSB4X, SSC5D, CACTIN, ARRB1, MAPKBP1, BCL3, IL6R, ANXA4, CD33, ANXA1",11,10,1,0.9090909090909091,0.035151734948158264,2.6645352591003758e-18,0.2850714928507149,two-sided,0.6328287974537142
cardiac muscle cell membrane repolarization,25,"DLG1, CACNA2D1, KCNE4, ATP1A1, KCNIP2, ZMPSTE24, KCNA5, KCNJ8, SCN1B, WDR1, KCNQ1, SNTA1, KCNE5, GJA1, KCNJ3, SCN4B, KCNJ2, NPPA, KCNH2, KCNJ5, NOS1AP, KCNH6, KCNN2, ATP1B1, KCND3",25,25,0,1.0,0.03512883558869362,1.1102230246251566e-18,0.12338766123387661,two-sided,0.5898481380912188
negative regulation of neurogenesis,155,"SIX3, SPP1, SORL1, IL1B, SEMA4D, NKX6-2, DRAXIN, FGF13, SIRT2, TSC1, ULK2, KIAA0319, RTN4, SKI, DAB2, NTRK3, DLL3, EPHB2, SEMA3C, CRMP1, MBP, TRIM11, SEMA6B, DCC, ITM2C, SEMA6D, PTN, CNTN2, RNF10, PLK2, SEMA5A, LRRK2, INPP5F, PTPRO, ADGRG1, DAB1, MAP2, DMD, STX1B, GNRH1, IDH2, RNF6, ID4, WNT3, RYK, FEZF2, OSTN, FSTL4, GLI3, GFAP, APOE, OMG, THY1, SEMA7A, PAFAH1B1, ARHGDIA, GDI1, RAPGEF2, PTPRS, NEXMIF, RGMA, SEMA3D, HES1, ASAP1, TRAK2, SLIT1, SEMA5B, PRAG1, PPP3CA, DPYSL3, SEMA3E, WNT7A, RAP1GAP, SOX8, TSKU, RAB29, DTNBP1, SOX11, RTN4RL1, MCF2, SRGAP2, TRPC5, TNF, GRIN3A, TSPO, INPP5J, ULK1, RTN4RL2, BAG5, LINGO1, DTX1, KREMEN1, BCL11A, DIXDC1, NGEF, LGALS1, TLX2, ISL1, NR2E1, FOXG1, EDNRB, ABCC8, BRINP1, SEMA4F, ARHGAP4, SPAG9, NRG1, SOX3, PTPRG, LHX2, NR2F1, NRG3, NRP1, RIT2, PLXNA3, EPHA4, CNTN4, UBE3A, SEMA4C, STMN2, DNM3, RTN4R, SPART, EFNB3, SNAPIN, ASCL1, EPHA7, CTNNB1, MAG, NLGN1, NEU4, ASCL2, MEIS1, CD38, B2M, WNT5A, CIB1, EFNB2, TMEM98, PAX6, HDAC2, ADCYAP1, MT3, DIP2B, SYT4, YWHAH, CTNNA1, ZNF365, HES5, CALR, CDK5, SEMA4A, NKX2-2, SEMA3A, HEY1",155,154,1,0.9935483870967742,0.03510947525501251,1.099120794378905e-18,0.17318268173182683,two-sided,0.6007011207438532
sensory perception of sound,64,"SOBP, LRP2, ATP2B2, TMTC4, COL11A2, PGAP1, DIAPH1, WDR1, MBP, GSDME, RPL38, TIMM10, COCH, SOD1, FZD4, TECTA, SRRM4, COL11A1, TIMM8B, WFS1, SPTBN4, KCNQ1, NAV2, CASP3, GABRB2, TIMM13, PCDH15, CDC14A, HPN, SNAI2, GABRA5, TBL1X, RIPOR2, HEXB, GRM7, CDKN1B, SLC17A8, TMIE, EML2, PPIP5K2, POU3F4, CRYM, KIT, THRB, PJVK, SLITRK6, ASIC2, USH1C, CNTN5, NDUFB9, SLC26A4, MYO7A, NIPBL, MKKS, LHFPL3, CLIC5, CDKN2D, TBX1, OTOF, CEMIP, EYA4, ATP6V0A4, ADGRV1, MYO15A",64,64,0,1.0,0.035084523260593414,-1.5876189252139739e-18,0.1760823917608239,two-sided,0.6007011207438532
calcium ion transmembrane transport,145,"SLC8B1, ITPR3, NOL3, ATP1B1, CACNA1B, BBC3, CDK5, TRPC1, HTR2C, NPPA, CALM3, P2RY12, DRD1, RASA3, TRPM7, ATP2A2, SLC25A23, GJC2, PLP1, RYR1, CEMIP, CACNG2, MCUB, TRPC4, THY1, EDNRA, ITPR1, JPH4, DRD2, GSTM2, TRPC5, CACHD1, C4orf3, NOS1AP, STIM1, FGF2, RAMP3, TMEM38A, CACNB1, FKBP1B, SESTD1, CALHM1, CORO1A, CACNA1A, CACNB2, MCOLN1, GRIN2A, APLNR, CACNG7, OPRM1, STAC2, RGN, GAS6, TRPV2, CACNA1H, SLN, ORAI2, GRIN3A, PKD2L1, PRNP, CACNG3, TPCN1, OPRL1, CACNG8, RYR3, STIM2, SLC8A1, CACNA2D1, CACNA1E, AHNAK, ASIC1, SLC8A2, CASQ1, CCR5, SNCA, ITGAV, EDN1, ATG5, NTSR1, CACNA1C, PANX1, GPER1, SLC9A1, DIAPH1, CACNG6, ADRA2A, FGF14, TOR2A, PDE4B, HTR2A, GEM, ANXA2, P2RX4, CALM1, JPH3, ATP2B2, FKBP1A, CACNA2D2, SLC24A4, TRPC3, CAPN3, GRIN2B, GRIN2C, SELENON, GPM6A, CACNA2D3, CAMK2D, CACNG4, MCU, AKAP6, ATP2B4, P2RY6, ATP2C1, CACNB3, HPCA, PKD2, SLC24A2, CACNA1I, TMEM165, CACNA1G, ANXA6, PRKD1, PTPRC, ITPR2, SLC24A3, MCUR1, TRPM3, RRAD, DMD, MICU3, MICU2, TMEM38B, PLCG2, LYN, RYR2, SLC25A25, CALM2, EDNRB, TRPM2, ATP2C2, PKD1, CACNB4, NOS1, GNB5, HRC",145,144,1,0.993103448275862,0.03507201373577118,-1.1879386363489174e-18,0.13888611138886112,two-sided,0.5898481380912188
endothelial cell development,40,"ROCK1, CCM2, PLCB1, RAPGEF1, AFDN, MYADM, CTNNB1, COL18A1, MET, TNF, ADD1, PECAM1, RTN4, CLDN5, RAPGEF2, ROBO4, RAP1B, VEGFA, HEG1, EDNRA, MSN, WNT7A, NOTCH4, S1PR2, PPP1R16B, IKBKB, WNT7B, PDE2A, IL1B, HAPLN2, VCL, PLOD3, CNMD, EZR, GSTM3, EDNRB, PTPRS, DMD, ZDHHC21, ROCK2",40,40,0,1.0,0.03504834324121475,-4.4408920985006264e-20,0.11398860113988601,two-sided,0.5898481380912188
cGMP biosynthetic process,10,"GUCY1A2, HPCA, NPPA, NPR2, GUCA2B, NOS1, GUCA1B, NOS2, GUCY1A1, ADORA2B",10,10,0,1.0,0.035019293427467346,-1.4099832412739487e-18,0.132986701329867,two-sided,0.5898481380912188
primary alcohol metabolic process,31,"SULT1C4, ALDH1A1, DHRS9, GDPD1, GDE1, RDH5, SDR16C5, PECR, DGAT2, LIPE, RBP4, AKR1C3, DHRS4, IGF1, RDH11, CYP1B1, RBP1, AKR1B1, NAAA, PLB1, RDH10, NAPEPLD, ALDH1B1, DHRS3, ALDH2, ALDH1A3, TTR, PNPLA4, ACSS2, DHRS7, RDH12",31,31,0,1.0,0.034992799162864685,-6.661338147750939e-19,0.2596740325967403,two-sided,0.626001812189915
positive regulation of mitotic metaphase/anaphase transition,7,"RB1, CUL3, ANAPC11, CDT1, CDC16, CDC27, ANAPC4",7,7,0,1.0,0.034991856664419174,-1.820765760385257e-18,0.26577342265773424,two-sided,0.6300320774374175
positive regulation of mitotic sister chromatid separation,7,"CUL3, ANAPC4, CDC27, RB1, ANAPC11, CDT1, CDC16",7,7,0,1.0,0.034991856664419174,-1.820765760385257e-18,0.26577342265773424,two-sided,0.6300320774374175
positive regulation of metaphase/anaphase transition of cell cycle,7,"CDT1, RB1, CDC27, ANAPC4, CDC16, CUL3, ANAPC11",7,7,0,1.0,0.034991856664419174,-1.820765760385257e-18,0.26577342265773424,two-sided,0.6300320774374175
inositol phosphate metabolic process,44,"ADCYAP1R1, INPP4A, PPIP5K1, CALM1, PLCE1, PLCH1, OCRL, INPP5B, IP6K3, INPP4B, PLCD3, NTSR1, INPP5J, IMPA1, ITPKA, SYNJ2, P2RY6, GPER1, ITPKC, INPP5E, PTH1R, PLCB2, PLCG2, IP6K2, ITPK1, PLCH2, ISYNA1, MTMR2, NUDT10, SNCA, NUDT4, MINPP1, PPIP5K2, INPP5K, SYNJ1, PLCB1, PLCD4, INPP5D, NUDT11, HRH1, IMPA2, FGF2, INPP5A, PLCB4",44,44,0,1.0,0.034942153841257095,-1.5654144647214707e-18,0.1391860813918608,two-sided,0.5898481380912188
positive regulation of biomineral tissue development,23,"ACVR1, FZD9, MEF2C, ACVR2B, PTN, SMAD3, SLC4A2, PKDCC, SLC8A1, WNT4, GPM6B, ALOX5, NELL1, WNT6, ACVR2A, BMP6, WNT10B, CEBPB, ADRB2, ADGRV1, ATF4, ATP2B1, ISG15",23,23,0,1.0,0.03490348160266876,6.994405055138486e-19,0.272972702729727,two-sided,0.630387941597997
positive regulation of mitochondrial calcium ion concentration,7,"BCAP31, MCUR1, MCU, BNIP3, FIS1, SLC25A23, MICU2",7,7,0,1.0,0.03489894047379494,8.881784197001253e-19,0.2866713328667133,two-sided,0.633345354546525
regulation of striated muscle tissue development,59,"SMAD3, CENPF, RPS6KB1, KLHL41, PI16, NACA, MEIS1, SOX15, PIM1, MEF2C, GLI1, EFNB2, TLL2, FZD7, LUC7L, DDX5, CCNB1, MAPK11, PIN1, PAK1, NLN, CTNNB1, EPHB1, FGF9, ZFPM2, RGS4, RBFOX1, YBX3, MAPK1, SAV1, NR1D2, JARID2, HDAC9, RGS2, ACVR1, RBM24, IGF1, CYP26B1, CITED2, EDN1, UQCC2, KCNK2, TBX1, NRG1, TGFBR1, RBP4, FGF2, FGFR2, WNT10B, HMGCR, TWIST1, FOXP1, LEF1, GJA1, ARNTL, AKAP6, SIRT2, HDAC4, BCL2",59,59,0,1.0,0.0348815843462944,8.326672684688674e-19,0.06569343065693431,two-sided,0.5895758749483904
regulation of muscle organ development,59,"CYP26B1, FGF9, FZD7, GJA1, RGS4, WNT10B, RBFOX1, YBX3, HDAC4, PIN1, PAK1, EPHB1, CITED2, NLN, MEF2C, PI16, KLHL41, SOX15, DDX5, FOXP1, JARID2, HDAC9, RGS2, NR1D2, RBP4, TLL2, GLI1, PIM1, SIRT2, CTNNB1, RBM24, KCNK2, TBX1, EDN1, AKAP6, IGF1, LEF1, SAV1, UQCC2, SMAD3, EFNB2, TGFBR1, NACA, RPS6KB1, CCNB1, MEIS1, BCL2, LUC7L, HMGCR, NRG1, FGFR2, MAPK11, FGF2, MAPK1, CENPF, ACVR1, ARNTL, TWIST1, ZFPM2",59,59,0,1.0,0.0348815843462944,8.326672684688674e-19,0.06569343065693431,two-sided,0.5895758749483904
muscle contraction,184,"ITGB5, KCNH2, KIT, HSBP1, KCNE5, KCNJ2, EEF2, TPM3, ATP2B4, SCN1B, EDNRB, GJC1, CCDC78, MYOF, MYH7, NEB, PTGS2, CASQ1, PRKG1, TNNT2, MKKS, KCNJ3, TMEM38B, RCSD1, EDNRA, MYBPC2, FKBP1B, RPS6KB1, CACNB2, KCND3, SULF1, ADRB2, SLC9A1, CHRNB1, ACTC1, KCNJ5, SMPX, SNTB1, DMD, CHRM3, TMOD3, RGS2, DAPK3, MYBPC1, FGF12, KCNIP2, SORBS3, SULF2, ATP8A2, ADRA2A, TBXA2R, NMU, TNNI3, TMOD1, KCNQ1, MYLK, GUCY1A1, NOS1AP, CHUK, ADRA1B, MYL5, GPD1L, MAP2K3, CKMT2, PLCE1, DLG1, ATP2B1, CACNA2D1, SETD3, CACNA1C, ARG2, KCNJ8, P2RX6, CAMK2D, HTR7, MYL6B, ACTA1, NPPA, EDN3, KCNE4, EDN1, ATP2A2, SNTA1, BDKRB2, KCNB2, COMP, SSTR2, GJA1, C12orf57, TTN, CACNA1G, DRD1, PDE4B, CRYAB, ADORA2B, TNNT1, SCN7A, TCAP, UTRN, ZDHHC21, SCN4B, TNNC2, HTR2A, FGF13, ITGA2, MAP2K6, MYL12A, MYL6, APBB1, CNN1, CHRNA3, P2RX4, MYL12B, ROCK2, SLC6A8, ANKRD2, TNF, DSP, MYOM1, PXN, SOD1, SLC8A1, GSTM2, CALM3, GRIP2, MYLK2, SCN2B, OXTR, GSN, ARHGAP42, FXYD1, HDAC4, HRC, SCN3B, TMEM38A, SCN1A, ADRA2C, CALM1, ADRA1A, ADORA1, DRD2, GPER1, CALM2, HOMER1, PIK3CA, NEDD4L, KCNJ12, CALD1, SLMAP, DTNA, ARHGEF11, CACNA1H, DOCK4, GAMT, KCNN2, TPM1, SYNM, RYR1, JUP, VCL, SPHK1, KLHL41, ROCK1, SORBS1, SGCD, HCN4, ATP1B1, SRF, NPNT, PTGER3, CHGA, MYOM2, RYR2, CHRM2, ACTN2, ITGA1, ENO1, CXCR4, CD38, ATP1A1, CTNNA3, KCNA5, STAC2, NOS1",184,184,0,1.0,0.03486175462603569,8.271161533457416e-19,0.14338566143385661,two-sided,0.5898481380912188
regulation of clathrin-dependent endocytosis,22,"SH3GL1, PIK3CB, SNAP91, AP2M1, SLC17A7, SCYL2, AAK1, TNK2, NLGN1, DAB2, CALM1, PPP3CC, SH3GL3, CALM3, CALM2, PPP3CB, UBQLN2, LRRK2, BTBD9, BMP2K, ROCK1, DGKD",22,22,0,1.0,0.034854643046855927,1.176836406102666e-18,0.137986201379862,two-sided,0.5898481380912188
inositol phosphate-mediated signaling,33,"EDN1, CIB1, FHL2, CAMTA1, PPP3CC, GPR62, LMCD1, PRNP, ITPR3, ITPR1, PPP3CB, NFATC1, MAPK7, NRG1, IGF1, SLC9A1, NFATC3, HRH1, TNF, NFAT5, PPP3CA, ITPR2, SPPL3, TBC1D10C, EDN3, ATP2B4, CHP2, PPP3R1, INPP5A, PLCE1, AKAP6, DYRK2, HOMER3",33,33,0,1.0,0.03484530374407768,-9.547918011776346e-19,0.1738826117388261,two-sided,0.6007011207438532
cell-cell adhesion involved in gastrulation,6,"RIC8A, MAPK7, MYADM, MAP2K5, MBP, WNK1",6,6,0,1.0,0.03484156355261803,3.1974423109204507e-18,0.24627537246275372,two-sided,0.6240988832151267
sensory perception of pain,48,"ACE, EPHB1, EDNRB, PHF24, ADCYAP1, SCN3B, MC1R, ITGA2, TAC1, CDK5, MAPK3, HTR2A, TNF, PTGS2, SCN9A, CHRNA4, P2RX4, UCHL1, OPRL1, CXCR4, NDN, HOXD1, MAPK1, KCNA1, PTGES, EDN1, OPRK1, MECP2, CACNB3, NPY1R, LXN, GRM1, TMEM120A, ADORA1, CCK, SCN1A, NMU, CCL2, RETREG1, NIPSNAP1, CNR1, GRIN2A, BACE1, NTSR1, OPRM1, CXCL12, KCNA2, PENK",48,48,0,1.0,0.034836653620004654,1.9206858326015207e-18,0.1817818218178182,two-sided,0.6007011207438532
negative regulation of chromosome separation,19,"DYNC1LI1, ZWINT, CDT1, CHFR, PSMG2, CCNB1, PTTG1, CENPF, MAD1L1, TPR, SPDL1, MAD2L2, ANAPC15, GEN1, ZWILCH, PTTG2, DUSP1, LCMT1, BUB3",19,19,0,1.0,0.03482494875788689,2.6645352591003755e-19,0.036996300369963,two-sided,0.5500787789701755
protein K11-linked ubiquitination,14,"RNF26, UBE2S, CDC26, CDC16, ANAPC11, ANAPC4, UBE2D4, CDC27, UBE2A, UBE2E2, ANAPC10, UBE2L5, UBE2B, FZR1",14,14,0,1.0,0.03481603413820267,-4.04121180963557e-18,0.2890710928907109,two-sided,0.635304364300412
locomotory behavior,107,"DSCAM, OPRK1, FEZF2, VPS35, SNAP25, MEIS1, MECP2, BTBD9, ADCY8, DDHD2, PDE1B, LRRTM1, SLITRK6, OXR1, PENK, ASTN1, TSC1, FGF12, RASD2, NRG1, DLG4, FZD4, ZMPSTE24, B4GALT2, HEXB, SLC25A46, NAV2, EPHA4, NOVA1, SPTBN4, KALRN, GRM5, RELN, PPP3CB, PBX3, HOXD9, NAGLU, FIG4, ZIC1, STRN, LRRK2, SNCA, SCN1A, ABHD12, GIT1, SOBP, APOE, FXN, SHANK3, GLRB, ADAM22, CHL1, PUM1, NPY1R, SNCG, GAD1, CALB1, HTR2C, SOD1, DRD2, CEND1, AGTPBP1, MYO15A, INPP5F, ID2, UBE3A, DAB1, CRH, APBA1, SEZ6, CHRNA3, TRH, CXCL12, CLN6, UCHL1, ARRDC3, GPR88, TMOD1, GPR52, NTAN1, APH1B, KLHL1, ZNF385A, NTSR1, SELENOP, DRD1, CNTN1, ALK, PPP1R1B, CNTN2, SHANK2, SOD2, NR4A2, PAFAH1B1, GIGYF2, ANKH, GRM1, EGR1, C1QL1, HTRA2, ALDH1A3, UBA6, NEGR1, EFNB3, LGI4, CSTB, ELAVL4",107,107,0,1.0,0.03477302938699722,1.5099033134902128e-18,0.11508849115088492,two-sided,0.5898481380912188
regulation of calcium ion import,53,"TRPC1, ACE, PLPP4, SLC8A1, DIAPH1, FKBP1A, JPH4, AKAP6, TRIM27, CORO1A, HRC, PRNP, APLNR, PDGFB, SPHK2, TRPV2, HOMER1, HES1, P2RY6, SELENON, SLN, CXCL12, PRKD1, NTSR1, CASK, PKD2, CRH, TMEM38B, JPH3, THY1, NOS1, CALM2, RYR2, TMEM38A, CALM3, CTNNB1, ATG5, CALM1, DRD1, CAMK2D, CCL2, DMD, ATP2C2, SNCA, LYN, GSTM2, RAMP3, CACNA1C, FKBP1B, CAPN3, CEMIP, GPER1, CASQ1",53,53,0,1.0,0.03472467139363289,-2.9087843245179103e-18,0.2632736726327367,two-sided,0.6286984204805326
positive regulation of endothelial cell proliferation,45,"SEMA5A, PROX1, TGFBR1, PPP1R16B, AGGF1, ACVRL1, SIRT1, MYDGF, BMP6, FGFR1, PIK3CD, NRP1, SCG2, VEGFC, RICTOR, VASH2, JCAD, PDCL3, ANG, NRP2, CDH13, PDGFB, MDK, APLN, HMGB2, APLNR, ECM1, PRKD1, EGFL7, VIP, VEGFA, TEK, HMOX1, EGR3, CXCL12, PRKCA, FGF2, THBS4, TNFSF12, HMGB1, WNT5A, JUN, EMC10, FLT4, CAV2",45,45,0,1.0,0.0347013883292675,7.327471962526033e-19,0.19118088191180882,two-sided,0.6007011207438532
regulation of urine volume,11,"EDNRB, EDN1, DRD2, OPRL1, NPR3, ADM, GNAI2, MLLT6, INPP5K, BTC, AKR1B1",11,11,0,1.0,0.03467318043112755,3.552713678800501e-19,0.1852814718528147,two-sided,0.6007011207438532
negative regulation of JAK-STAT cascade,12,"NEUROD1, SOCS2, DAB1, BCL3, INPP5F, PTPRD, NF2, SUZ12, PIBF1, GGNBP2, PTPN2, SH2B3",12,12,0,1.0,0.034660305827856064,1.1990408665951691e-18,0.16828317168283172,two-sided,0.5983663610594671
postsynaptic membrane organization,24,"DVL1, PTN, NRXN1, DLG4, SHISA7, GPHN, EPHB2, APOE, FZD9, RELN, NLGN1, SLC7A11, FNTA, NRXN2, RER1, CDH2, ZMYND8, NLGN4X, DNAJA3, LRRC4, GLRB, SHANK3, CHRNB1, ZDHHC2",24,24,0,1.0,0.034653279930353165,1.1102230246251566e-20,0.20857914208579142,two-sided,0.6113500314973488
