cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
glycine transport,6,"SLC36A1, SLC7A8, SLC38A5, RGS2, RGS4, SLC6A17",6,6,0,1.0,0.14669565856456757,1.1102230246251566e-19,0.011998800119988001,two-sided,0.5020180334907686
regulation of synaptic vesicle priming,7,"STXBP5, STX1A, STX1B, NAPB, UNC13B, NAPA, STXBP1",7,7,0,1.0,0.14469751715660095,-7.105427357601002e-19,0.0005999400059994001,two-sided,0.5020180334907686
spontaneous synaptic transmission,9,"STX1B, RPH3A, DOC2B, CBLN2, PPP1R9A, SYT1, DOC2A, RIMS2, NSG1",9,9,0,1.0,0.14337238669395447,2.4424906541753442e-18,0.0053994600539946005,two-sided,0.5020180334907686
artery smooth muscle contraction,6,"EDNRA, HTR2A, GRIP2, CD38, EDN1, MKKS",6,6,0,1.0,0.14315690100193024,1.5987211554602254e-18,0.023397660233976603,two-sided,0.5449510825809849
positive regulation of meiotic cell cycle,9,"INSR, SIRT2, WNT4, UBE2B, YTHDC2, PLCB1, NPM2, WNT5A, MSX1",9,8,1,0.8888888888888888,0.14312052726745605,4.651834473179406e-18,0.0045995400459954,two-sided,0.5020180334907686
adenylate cyclase-activating adrenergic receptor signaling pathway,13,"DRD2, ADRB1, ADRA2C, RAPGEF2, ADRB2, ADRA2A, GNAS, CHGA, ADCY9, DRD1, ADRA1A, ADRA1D, ADRA1B",13,13,0,1.0,0.1427764892578125,2.753353101070388e-18,0.008799120087991202,two-sided,0.5020180334907686
regulation of secondary metabolic process,11,"WNT5A, SLC7A11, RAPGEF2, PGAM1, OPN3, TYRP1, GIPC1, APPL1, TIGAR, MFSD12, CDH3",11,11,0,1.0,0.14271146059036255,2.531308496145357e-18,0.0117988201179882,two-sided,0.5020180334907686
asymmetric protein localization,9,"SHROOM2, SHROOM3, GOPC, ACTB, WNT7A, VANGL2, DLG5, NAPA, HCN1",9,9,0,1.0,0.14195439219474792,6.661338147750939e-19,0.0036996300369963003,two-sided,0.5020180334907686
C-terminal protein lipidation,6,"GPLD1, ATG12, WIPI2, ATG7, ATG5, ATG16L1",6,6,0,1.0,0.14168967306613922,-1.8540724511240114e-18,0.0017998200179982,two-sided,0.5020180334907686
positive regulation of fear response,6,"CRH, CCK, PENK, NPAS2, GJA1, MEF2C",6,6,0,1.0,0.14083337783813477,4.8627768478581855e-18,0.06419358064193581,two-sided,0.5895758749483904
positive regulation of behavioral fear response,6,"NPAS2, PENK, CCK, MEF2C, CRH, GJA1",6,6,0,1.0,0.14083337783813477,4.8627768478581855e-18,0.06419358064193581,two-sided,0.5895758749483904
neurotransmitter receptor transport,15,"NSG1, STX1B, VPS35, CACNG7, CACNG4, CACNG8, MAPK10, GRIP1, ARHGAP44, CACNG2, SNAP25, CPLX1, GRIP2, RAB11A, CACNG3",15,15,0,1.0,0.13962770998477936,-3.508304757815495e-18,0.023297670232976703,two-sided,0.5449510825809849
epinephrine secretion,7,"GABBR1, LY6E, CRH, ADRA2A, VIP, CARTPT, ADRA2C",7,7,0,1.0,0.13814394176006317,-2.4424906541753442e-18,0.09459054094590541,two-sided,0.5895758749483904
response to sorbitol,6,"CDT1, MAP2K6, MAP2K4, MAPK13, MAP2K3, MAP2K7",6,6,0,1.0,0.13682587444782257,4.507505479978135e-18,0.0082991700829917,two-sided,0.5020180334907686
regulation of melanin biosynthetic process,9,"APPL1, GIPC1, RAPGEF2, MFSD12, TYRP1, CDH3, OPN3, SLC7A11, WNT5A",9,9,0,1.0,0.13668741285800934,2.9309887850104133e-18,0.0168983101689831,two-sided,0.5118524416988353
regulation of secondary metabolite biosynthetic process,9,"TYRP1, WNT5A, RAPGEF2, MFSD12, APPL1, CDH3, OPN3, GIPC1, SLC7A11",9,9,0,1.0,0.13668741285800934,2.9309887850104133e-18,0.0168983101689831,two-sided,0.5118524416988353
positive regulation of catecholamine secretion,9,"PINK1, OXTR, CXCL12, KCNB1, SYT1, VIP, STX1A, OPRK1, CARTPT",9,9,0,1.0,0.1365407407283783,-2.6756374893466273e-18,0.040495950404959506,two-sided,0.5500787789701755
extracellular regulation of signal transduction,6,"FBN1, CHRDL1, ZNF653, LRPAP1, FSTL1, GREM2",6,6,0,1.0,0.13548128306865692,2.2648549702353195e-18,0.037896210378962104,two-sided,0.5500787789701755
extracellular negative regulation of signal transduction,6,"LRPAP1, FBN1, ZNF653, CHRDL1, GREM2, FSTL1",6,6,0,1.0,0.13548128306865692,2.2648549702353195e-18,0.037896210378962104,two-sided,0.5500787789701755
regulation of macromitophagy,10,"CERS1, HTRA2, SLC25A5, PINK1, MFN2, CDC37, SLC25A4, TIGAR, VPS13D, OPTN",10,9,1,0.9,0.13534806668758392,6.084022174945858e-18,0.15508449155084492,two-sided,0.5983663610594671
spontaneous neurotransmitter secretion,7,"DOC2A, PPP1R9A, DOC2B, RPH3A, SYT1, RIMS2, STX1B",7,7,0,1.0,0.13528689742088318,1.304512053934559e-18,0.006099390060993901,two-sided,0.5020180334907686
neurofilament cytoskeleton organization,8,"SOD1, ATP8A2, NEFH, NDEL1, NEFL, VPS54, NEFM, INA",8,8,0,1.0,0.13527119159698486,4.130029651605582e-18,0.0780921907809219,two-sided,0.5895758749483904
basement membrane assembly,8,"PHLDB2, LAMB3, NTNG2, LAMB1, NTNG1, PLOD3, PXDN, NTN4",8,8,0,1.0,0.1333935558795929,2.6201263381153694e-18,0.0105989401059894,two-sided,0.5020180334907686
